縣市,辦理單位,據點名稱,服務區域
臺北市,社團法人中華救助總會,同心園─新住民社區服務據點,全市
臺北市,財團法人台北市賽珍珠基金會,臺北市北區新移民社區關懷據點,士林區、北投區、中山區
臺北市,中華民國基督教女青年會協會,臺北市西區新移民社區關懷據點,萬華區、中正區、大同區
臺北市,財團法人天主教善牧社會福利基金會,臺北市南區新移民社區關懷據點,文山區、大安區、信義區
臺北市,中華民國基督教女青年會協會,臺北市東區新移民社區關懷據點,松山區、內湖區、南港區
新北市,財團法人天主教善牧社會福利基金會,板橋新住民社區服務據點,板橋區
新北市,財團法人天主教善牧社會福利基金會,汐止新住民社區服務據點,汐止區
新北市,社團法人新北市家長志工教育成長協會,汐止新住民社區服務據點,汐止區
新竹縣,新竹縣知心會,新住民社區服務據點,湖口鄉
新竹縣,新竹縣社區學習照顧服務協會,新住民社區服務據點,全市
新竹縣,社團法人台灣築心全人生命教育關懷協會,新住民社區服務據點,竹東鎮
新竹縣,新竹縣寶山鄉新住民關懷協會,新住民社區服務據點,寶山鄉
新竹縣,財團法人鹿江教育基金會,新住民社區服務據點,關西鎮
苗栗縣,苗栗縣大湖鄉靜湖社區發展協會,苗栗縣大湖鄉新住民社區服務據點,大湖鄉
苗栗縣,苗栗縣竹南鎮佳興社區發展協會,"苗栗縣竹南鎮新住民社區服務據
點",竹南鎮
苗栗縣,苗栗縣公館博愛關懷協會,"苗栗縣公館鄉新住民社區服務據
點",公館鄉
苗栗縣,苗栗縣向揚推展關懷協會,"苗栗縣三義鄉新住民社區服務據
點",三義鄉
嘉義縣,社團法人嘉義縣扶緣服務協會,日久他鄉是故鄉─新住民社區服務據點,新港鄉及周邊鄉鎮
嘉義縣,社團法人嘉義縣共好生活協會,共好新幸福-新住民社區服務據點,
嘉義縣,社團法人嘉義縣新住民婦幼關懷協會,"關懷之家-嘉義縣山區(大林)新住
民社區服務據點",大林鎮
台中市,社團法人台灣新移民協會,中區新住民社區服務據點,中區
台中市,社團法人臺灣陽光婦女協會,西區新住民社區服務據點,東、南區
台中市,社團法人台中市婦女發展協會,西區功能型新住民社區服務據點,西區
台中市,"社團法人台灣基督教好牧人全人關顧協
會",北區新住民社區服務據點,大里區
台中市,社團法人中華傳愛社區服務協會,北區新住民社區服務據點,
台中市,財團法人熱愛生命文教基金會,北區新住民社區服務據點,西屯區
台中市,社團法人中華民國優質家庭教育發展促進會,大雅區新住民社區服務據點,大雅區
台中市,臺中市王海雲慈善發展協會,大雅區功能型新住民社區服務據點,大雅區
台中市,臺中市娘家關懷協會,潭子區新住民社區服務據點,潭子區
台中市,社團法人台中市親子閱讀協會,豐原區新住民社區服務據點,豐原區
台中市,臺中市春天女性成長協會,東勢區新住民社區服務據點,東勢區
台中市,社團法人台中市艾馨婦女協進會,大肚區新住民社區服務據點,大肚區
台中市,社團法人臺中市忘憂草協會,沙鹿區新住民社區服務據點,沙鹿區
台中市,臺中市清水區東山社區發展協會,清水區功能型新住民社區服務據點,清水區
台中市,臺中縣健康樂活關懷協會,清水區功能型新住民社區服務據點,北屯區
台中市,社團法人台中市社區福利共創協會,梧棲區功能型新住民社區服務據點,梧棲區
台中市,臺中市大肚山新住民關懷協會,龍井區新住民社區服務據點,龍井區
台中市,兩岸四川經濟文化交流協會,烏日區功能型新住民社區服務據點,烏日區
台中市,臺中市喜樂文化推廣協會,太平區新住民社區服務據點,太平區
