縣市,辦理單位,據點名稱,服務區域,連絡電話,地址
新北市,財團法人天主教善牧社會福利基金會,新北市五股區新住民社區服務據點,板橋區、五股區、新莊區,02-89646003,新北市五股區成泰路二段208號3樓
新北市,財團法人天主教善牧社會福利基金會,新北市汐止區新住民社區服務據點,汐止區,02-86476654,新北市汐止區茄苳路15號2樓
新北市,社團法人新北市家長志工教育成長協會,新北市土城區新住民社區服務據點,土城區,0919-572992,新北市土城區中央路四段205號
新北市,新北市板橋區中山社區發展協會,新北市新住民關懷服務站,板橋區,02-29640347,新北市板橋區光復街133巷5號
新北市,新北市板橋區雙新社區發展協會,新北市新住民關懷服務站,板橋區,02-89642609,新北市板橋區太和街6巷3號1樓
新北市,新北市板橋區龍興社區發展協會,新北市新住民關懷服務站,板橋區,02-89645966,新北市板橋區龍興街42號B1
新北市,新北市新住民促進會,新北市新住民關懷服務站,板橋區,02-22750255,新北市板橋區長安街331巷19弄2號
新北市,國立空中大學健康家庭研究中心,新北市新住民關懷服務站,三重區,02-22897895,新北市蘆洲區中正路172號(教學大樓5樓)
新北市,財團法人新北市中國基督教靈糧世界佈道會三重靈糧堂,新北市新住民關懷服務站,三重區,02-89816327＃14,新北市三重區中正北路2-1號2樓
新北市,財團法人中華基督教衛理公會永和天恩堂,新北市新住民關懷服務站,永和區,02-29212374,新北市永和區信義路23號
新北市,新北市土城區平和社區發展協會,新北市新住民關懷服務站,土城區,02-22626328,新北市土城區延和路105巷6弄7號
新北市,新北市土城區頂欣社區發展協會,新北市新住民關懷服務站,土城區, 0980-775-708,新北市土城區中央路四段283之1
新北市,新北市土城區裕生社區發展協會,新北市新住民關懷服務站,土城區,02-2274-1884,新北市土城區中央路一段118巷1弄13號
新北市,新北市蘆洲區婦女成長協會,新北市新住民關懷服務站,蘆洲區,02-28488000,新北市蘆洲區長安街267巷7弄1號1樓
新北市,新北市樹林區彭厝社區發展協會,新北市新住民關懷服務站,樹林區,02-86858103,新北市樹林區太平街56巷43號2樓
新北市,新北市樹林區山佳社區發展協會,新北市新住民關懷服務站,樹林區,02-26688351,新北市樹林區中山路三段40號2樓
新北市,台灣亙愛國際新住民關懷協會,新北市新住民關懷服務站,樹林區,02-26821413,新北市樹林區東里博愛街41號5樓之5
新北市,新北市ACEA藝術文化教育協會,新北市新住民關懷服務站,新店區,02-22185067,新北市新店區中央八街67號1樓
新北市,新北市家長志工教育成長協會,新北市新住民關懷服務站,鶯歌區,0919-572992,新北市鶯歌區文化路226巷26弄6號
新北市,新北市家長志工教育成長協會,新北市新住民關懷服務站,三峽區,0919-572992,新北市三峽區大同路134號
新北市,新北市坪林區婦女成長協會,新北市新住民關懷服務站,坪林區,02-26657545,新北市坪林區坪林村坪林路10-1號
新北市,新北市金山區金包里社區發展協會,新北市新住民關懷服務站,金山區,02-24987748,新北市金山區磺港里磺港路171號
新北市,新北市烏來愛心關懷協會,新北市新住民關懷服務站,烏來區,0937-590090、0935-590090,新北市烏來區烏來里烏來街34號3樓
新北市,新北市瑞芳區爪峰社區發展協會,新北市新住民關懷服務站,瑞芳區,0916-730662,新北市瑞芳區明燈路三段2號3樓
新北市,新北市萬里區北基社區發展協會,新北市新住民關懷服務站,萬里區,02-24924758,新北市萬里區北基里孝五街4號地下室
新北市,財團法人新北市中和基督之家,新北市新住民關懷服務站,中和區,02-29434242,新北市中和區景平路278巷14弄16號
新北市,社團法人台灣東協新住民家庭成長學會,新北市新住民關懷服務站,中和區,02-29404080,新北市中和區安樂路51巷8號2樓
新北市,財團法人新北市基督教林口靈糧堂,新北市新住民關懷服務站,林口區,02-26097836,新北市林口區文化一路一段93號4樓
新北市,新北市百合志願服務協會,新北市新住民關懷服務站,新莊區,02-22799133,新北市新莊區景德路83號1樓
新北市,社團法人新北市新莊恩典協會,新北市新住民關懷服務站,新莊區,02-22022343,新北市新莊區新樹路166號2樓
